date,	United States,	Russia,	South Africa,	China,	Brazil,	India
2000,	350.20416,	177.75335,	101.71578,	31.4685,	48.95297,	13.24989
2001,	337.46887,	175.66948,	101.96284,	32.42302,	47.78927,	13.52257
2002,	339.48746,	183.21087,	98.43929,	34.03191,	47.73233,	13.13655
2003,	337.61021,	189.40043,	104.71121,	38.94003,	47.78749,	13.35042
2004,	342.0731,	195.45684,	110.88106,	44.86047,	48.93927,	14.26428
2005,	339.34309,	194.62656,	107.83603,	49.46962,	50.25623,	14.96965
2006,	333.899,	193.99994,	110.32818,	53.96891,	51.51575,	15.91784
2007,	336.34413,	200.79186,	112.14774,	57.12489,	53.22689,	16.73585
2008,	326.51774,	208.07238,	118.30442,	59.98329,	52.68423,	17.24824
2009,	308.36043,	188.46397,	114.43677,	65.73054,	53.73497,	18.71032
2010,	316.86657,	208.55993,	114.05031,	71.97437,	57.69613,	19.36064
