time,latitude,longitude,depth,mag,id,place
2016-09-01T16:37:57.300Z,-37.3586,179.1461,19,7,us10006jbi,"175km NE of Gisborne, New Zealand"
2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10,7.1,us20006uy6,North of Ascension Island
2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10,7.4,us10006exl,South Georgia Island region
2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2,us10006d5h,"110km E of Ile Hunter, New Caledonia"
2016-07-29T21:18:24.740Z,18.5429,145.5073,196,7.7,us100068jg,"29km SW of Agrihan, Northern Mariana Islands"
2016-05-28T09:46:59.780Z,-56.2409,-26.9353,78,7.2,us20005ysu,"53km NNE of Visokoi Island, South Georgia and the South Sandwich Islands"
2016-04-28T19:33:24.070Z,-16.0429,167.3786,24,7,us10005c88,"2km N of Norsup, Vanuatu"
2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8,us20005j32,"27km SSE of Muisne, Ecuador"
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,us20005iis,"1km E of Kumamoto-shi, Japan"
2016-03-02T12:49:48.110Z,-4.9521,94.3299,24,7.8,us10004u1y,"Southwest of Sumatra, Indonesia"
2016-01-30T03:25:12.220Z,53.9776,158.5463,177,7.2,us20004vvx,"88km N of Yelizovo, Russia"
2016-01-24T10:30:30.230Z,59.6363,-153.4051,129,7.1,us10004gqp,"86km E of Old Iliamna, Alaska"
2015-12-07T07:50:05.950Z,38.2107,72.7797,22,7.2,us100044k6,"104km W of Murghob, Tajikistan"
2015-12-04T22:25:00.110Z,-47.6165,85.0913,35,7.1,us100043z2,Southeast Indian Ridge
2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6,us100040x6,"211km S of Tarauaca, Brazil"
2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6,us100040ww,"173km WNW of Iberia, Peru"
2015-10-26T09:09:42.560Z,36.5244,70.3676,231,7.5,us10003re5,"45km E of Farkhar, Afghanistan"
2015-10-20T21:52:02.560Z,-14.8595,167.3028,135,7.1,us10003q0q,"34km NE of Port-Olry, Vanuatu"
2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7,us20003k7w,"25km WNW of Illapel, Chile"
2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3,us20003k7a,"48km W of Illapel, Chile"
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48,7,us200030kn,"228km W of Abepura, Indonesia"
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11,7,us20002yaw,"83km WNW of Lata, Solomon Islands"
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10,7,us20002qn7,Southern Mid-Atlantic Ridge
2015-05-30T11:23:02.110Z,27.8386,140.4931,664,7.8,us20002ki3,"189km WNW of Chichi-shima, Japan"
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,us20002ejl,"19km SE of Kodari, Nepal"
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10,7.1,us20002das,"143km SW of Panguna, Papua New Guinea"
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55,7.5,us20002bnf,"130km SSW of Kokopo, Papua New Guinea"
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,us20002926,"36km E of Khudi, Nepal"
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41,7.5,us10001rvu,"53km SE of Kokopo, Papua New Guinea"
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7,usc000ttkd,"130km N of Nebe, Indonesia"
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,usb000tp5q,Northern Mid-Atlantic Ridge
2014-11-15T02:31:41.720Z,1.8929,126.5217,45,7.1,usc000sxh8,"154km NW of Kota Ternate, Indonesia"
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,usc000stdc,"144km NE of Ndoi Island, Fiji"
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,usb000slwn,"74km S of Intipuca, El Salvador"
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,usb000sk6k,Southern East Pacific Rise
2014-06-23T20:53:09.700Z,51.8486,178.7352,109,7.9,usc000rki5,"19km SE of Little Sitkin Island, Alaska"
2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5,usb000pr89,"70km SW of Panguna, Papua New Guinea"
2014-04-18T14:27:24.920Z,17.397,-100.9723,24,7.2,usb000pq41,"33km ESE of Petatlan, Mexico"
2014-04-13T12:36:19.230Z,-11.4633,162.0511,39,7.4,usc000piqj,"112km S of Kirakira, Solomon Islands"
2014-04-12T20:14:39.300Z,-11.2701,162.1481,22.56,7.6,usc000phx5,"93km SSE of Kirakira, Solomon Islands"
2014-04-11T07:07:23.130Z,-6.5858,155.0485,60.53,7.1,usc000pft9,"56km WSW of Panguna, Papua New Guinea"
2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7,usc000p27i,"53km SW of Iquique, Chile"
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25,8.2,usc000nzvd,"94km NW of Iquique, Chile"
2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7,usb000l5zn,Falkland Islands region
2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10,7.7,usb000l0gq,Scotia Sea
2013-10-25T17:10:19.710Z,37.1557,144.6611,35,7.1,usc000kn4n,"Off the east coast of Honshu, Japan"
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,usb000kdb4,"4km SE of Sagbayan, Philippines"
2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40,7.1,usb000jzma,"46km SSE of Acari, Peru"
2013-09-24T11:29:47.970Z,26.951,65.5009,15,7.7,usb000jyiv,"61km NNE of Awaran, Pakistan"
2013-08-30T16:25:02.300Z,51.537,-175.2297,29,7,usb000jdt7,"101km SW of Atka, Alaska"
2013-07-15T14:03:39.880Z,-60.857,-25.07,11,7.3,usb000ief9,"218km SSE of Bristol Island, South Sandwich Islands"
2013-07-07T18:35:30.740Z,-3.917,153.927,385.5,7.3,usb000i89z,"115km ENE of Taron, Papua New Guinea"
2013-05-24T05:44:48.980Z,54.892,153.221,598.1,8.3,usb000h4jh,Sea of Okhotsk
2013-05-23T17:19:04.750Z,-23.009,-177.232,173.7,7.4,usb000h3k3,"282km SW of Vaini, Tonga"
2013-04-19T03:05:52.650Z,46.221,150.788,110,7.2,usb000gbf8,"251km ENE of Kuril'sk, Russia"
2013-04-16T10:44:20.180Z,28.033,61.996,80,7.7,usb000g7x7,"83km E of Khash, Iran"
2013-04-06T04:42:35.860Z,-3.517,138.476,66,7,usb000g13s,"240km E of Enarotali, Indonesia"
2013-02-08T15:26:38.470Z,-10.928,166.018,21,7.1,usc000f40j,"31km SE of Lata, Solomon Islands"
2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7,usc000f1ts,"27km NNW of Lata, Solomon Islands"
2013-02-06T01:23:19.760Z,-11.183,164.882,10,7.1,usc000f1se,"114km WSW of Lata, Solomon Islands"
2013-02-06T01:12:25.830Z,-10.799,165.114,24,8,usc000f1s0,"76km W of Lata, Solomon Islands"
2013-01-05T08:58:19.330Z,55.393,-134.652,10,7.5,usp000jxum,Southeastern Alaska
2012-12-10T16:53:08.770Z,-6.533,129.825,155,7.1,usp000jwt8,Banda Sea
2012-12-07T08:18:23.130Z,37.89,143.949,31,7.3,usp000jwjn,"off the east coast of Honshu, Japan"
2012-11-07T16:35:46.930Z,13.988,-91.895,24,7.4,usp000jv5f,offshore Guatemala
2012-10-28T03:04:08.820Z,52.788,-132.101,14,7.8,usp000juhz,"Haida Gwaii, Canada"
2012-09-30T16:31:35.970Z,1.929,-76.362,170,7.3,usp000jta1,Colombia
2012-09-05T14:42:07.800Z,10.085,-85.315,35,7.6,usp000jrsw,Costa Rica
2012-08-31T12:47:33.380Z,10.811,126.638,28,7.6,usp000jr83,Philippine Islands region
2012-08-27T04:37:19.430Z,12.139,-88.59,28,7.3,usp000jqvm,off the coast of El Salvador
2012-08-14T02:59:38.460Z,49.8,145.064,583.2,7.7,usp000jq9h,Sea of Okhotsk
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,usp000jhr6,"Baja California, Mexico"
2012-04-11T10:43:10.850Z,0.802,92.463,25.1,8.2,usp000jhjb,off the west coast of northern Sumatra
2012-04-11T08:38:36.720Z,2.327,93.063,20,8.6,official20120411083836720_20,off the west coast of northern Sumatra
2012-03-25T22:37:06.000Z,-35.2,-72.217,40.7,7.1,usp000jgsw,"Maule, Chile"
2012-03-20T18:02:47.440Z,16.493,-98.231,20,7.4,usp000jghj,"Oaxaca, Mexico"
2012-02-02T13:34:40.650Z,-17.827,167.133,23,7.1,usp000jeag,Vanuatu
2012-01-10T18:36:59.080Z,2.433,93.21,19,7.2,usp000jdar,off the west coast of northern Sumatra
2011-12-14T05:04:58.630Z,-7.551,146.809,135,7.1,usp000jc5z,"eastern New Guinea region, Papua New Guinea"
2011-10-23T10:41:23.250Z,38.721,43.508,18,7.1,usp000j9rr,eastern Turkey
2011-10-21T17:57:16.100Z,-28.993,-176.238,33,7.4,usp000j9nm,Kermadec Islands region
2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3,usp000j83e,Fiji region
2011-09-03T22:55:40.920Z,-20.671,169.716,185.1,7,usp000j7jb,Vanuatu
2011-08-24T17:46:11.650Z,-7.641,-74.525,147,7,usp000j6z8,northern Peru
2011-08-20T18:19:23.550Z,-18.311,168.218,28,7.1,usp000j6rj,Vanuatu
2011-08-20T16:55:02.810Z,-18.365,168.143,32,7.2,usp000j6r4,Vanuatu
2011-07-10T00:57:10.800Z,38.034,143.264,23,7,usp000j4gp,"off the east coast of Honshu, Japan"
2011-07-06T19:03:18.260Z,-29.539,-176.34,17,7.6,usp000j48h,Kermadec Islands region
2011-06-24T03:09:39.470Z,52.05,-171.836,52,7.3,usp000j3mq,"Fox Islands, Aleutian Islands, Alaska"
2011-04-07T14:32:43.290Z,38.276,141.588,42,7.1,usp000hzf6,"near the east coast of Honshu, Japan"
